aalib 1.4rc5-15
ttf-heavydata-nerd 2.3.3-2
ttf-iawriter-nerd 2.3.3-2
ttf-ibmplex-mono-nerd 2.3.3-2
ttf-inconsolata-go-nerd 2.3.3-2
ttf-inconsolata-lgc-nerd 2.3.3-2
ttf-inconsolata-nerd 2.3.3-2
ttf-iosevka-nerd 2.3.3-2
ttf-jetbrains-mono-nerd 2.3.3-2
ttf-joypixels 7.0.0-1
ttf-lekton-nerd 2.3.3-2
ttf-liberation-mono-nerd 2.3.3-2
ttf-lilex-nerd 2.3.3-2
ttf-mac-fonts 20100901.134-1
ttf-meslo-nerd 2.3.3-2
ttf-monofur-nerd 2.3.3-2
ttf-monoid-nerd 2.3.3-2
ttf-mononoki-nerd 2.3.3-2
ttf-mplus-nerd 2.3.3-2
ttf-nerd-fonts-symbols-2048-em 2.3.3-1
ttf-nerd-fonts-symbols-common 2.3.3-1
ttf-noto-nerd 2.3.3-2
ttf-opensans 1.101-2
ttf-profont-nerd 2.3.3-2
ttf-proggyclean-nerd 2.3.3-2
ttf-roboto-mono-nerd 2.3.3-2
ttf-sharetech-mono-nerd 2.3.3-2
ttf-sourcecodepro-nerd 2.3.3-2
ttf-space-mono-nerd 2.3.3-2
ttf-symbola 14.00-1
ttf-terminus-nerd 2.3.3-2
ttf-tinos-nerd 2.3.3-2
ttf-ubuntu-mono-nerd 2.3.3-2
ttf-ubuntu-nerd 2.3.3-2
ttf-victor-mono-nerd 2.3.3-2
twolame 0.4.0-2
tzdata 2023c-1
uchardet 0.0.8-1
udiskie 2.4.2-1
udisks2 2.9.4-1
ueberzug 18.1.9-4
unibilium 2.1.1-1
unixodbc 2.3.11-1
unrar 1:6.2.6-1
unzip 6.0-19
update-grub 0.0.1-7
util-linux 2.38.1-3
util-linux-libs 2.38.1-3
v4l-utils 1.24.1-1
vi 1:070224-6
vid.stab 1.1-3
vim 9.0.1420-1
vim-runtime 9.0.1420-1
vmaf 2.3.1-1
volume_key 0.3.12-7
vulkan-headers 1:1.3.246-1
vulkan-icd-loader 1.3.245-1
vulkan-radeon 23.0.2-2
w3m 0.5.3.git20230121_1-1
wavpack 5.6.0-1
wayland 1.22.0-1
wayland-protocols 1.31-1
webkit2gtk 2.40.0-2
webrtc-audio-processing 0.3.1-3
wget 1.21.3-1
which 2.21-6
wkhtmltopdf 0.12.6-1
woff2 1.0.2-4
wpa_supplicant 2:2.10-8
wpebackend-fdo 1.14.2-1
x264 3:0.164.r3095.baee400-4
x265 3.5-3
xcb-proto 1.15.2-2
xcb-util 0.4.1-1
xcb-util-cursor 0.1.4-1
xcb-util-image 0.4.1-2
xcb-util-keysyms 0.4.1-4
xcb-util-renderutil 0.3.10-1
xcb-util-wm 0.4.2-1
xcb-util-xrm 1.3-2
xclip 0.13-3
xdg-dbus-proxy 0.1.4-1
xdg-utils 1.1.3+25+g8ae0263-1
xf86-input-libinput 1.3.0-1
xf86-video-amdgpu 23.0.0-1
xfsprogs 6.2.0-1
xkeyboard-config 2.38-1
xmlsec 1.2.37-1
xorg-fonts-encodings 1.0.7-1
xorg-server 21.1.8-1
xorg-server-common 21.1.8-1
xorg-setxkbmap 1.3.3-2
xorg-xauth 1.1.2-1
xorg-xbacklight 1.2.3-3
xorg-xinit 1.4.2-1
xorg-xinput 1.6.3-3
xorg-xkbcomp 1.4.6-1
xorg-xmodmap 1.0.11-1
xorg-xprop 1.2.6-1
xorg-xrandr 1.5.2-1
xorg-xrdb 1.2.1-1
xorg-xset 1.2.5-1
xorg-xsetroot 1.1.3-1
xorgproto 2022.2-1
xsel 1.2.0.20200527-2
xvidcore 1.3.7-2
xxhash 0.8.1-4
xz 5.4.2-1
yay-git 11.3.1.r124.g3d5a43c-1
zathura 0.5.2-2
zathura-cb 0.1.10-2
zathura-djvu 0.2.9-2
zathura-pdf-mupdf 0.4.0-2
zathura-ps 0.2.7-2
zenity 3.44.0-3
zeromq 4.3.4-2
zimg 3.0.4-1
zip 3.0-10
zlib 1:1.2.13-2
zsh 5.9-3
zstd 1.5.4-1
zxing-cpp 2.0.0-2
zziplib 0.13.72-1
